




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.8436609 Released 2023-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (576)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cell activation (GO:0001775)	731	3	20.45	-	.15	4.27E-06	3.61E-04
protein phosphorylation (GO:0006468)	493	2	13.79	-	.15	2.16E-04	1.05E-02
organic hydroxy compound metabolic process (GO:1901615)	493	2	13.79	-	.15	2.16E-04	1.05E-02
circulatory system process (GO:0003013)	499	2	13.96	-	.14	2.23E-04	1.08E-02
regulation of lymphocyte activation (GO:0051249)	503	2	14.07	-	.14	1.50E-04	7.80E-03
neuron projection morphogenesis (GO:0048812)	505	2	14.13	-	.14	1.50E-04	7.78E-03
mitotic cell cycle process (GO:1903047)	509	2	14.24	-	.14	1.52E-04	7.79E-03
plasma membrane bounded cell projection morphogenesis (GO:0120039)	510	2	14.27	-	.14	1.52E-04	7.80E-03
cell projection morphogenesis (GO:0048858)	515	2	14.41	-	.14	1.58E-04	8.07E-03
regulation of cell differentiation (GO:0045595)	1563	6	43.72	-	.14	1.18E-12	3.30E-10
cell surface receptor signaling pathway (GO:0007166)	2092	8	58.52	-	.14	4.41E-17	2.12E-14
regulation of cell adhesion (GO:0030155)	788	3	22.04	-	.14	9.97E-07	9.87E-05
cell part morphogenesis (GO:0032990)	535	2	14.97	-	.13	7.31E-05	4.16E-03
positive regulation of cell migration (GO:0030335)	541	2	15.13	-	.13	7.52E-05	4.26E-03
inflammatory response (GO:0006954)	554	2	15.50	-	.13	5.18E-05	3.05E-03
positive regulation of cell motility (GO:2000147)	568	2	15.89	-	.13	3.60E-05	2.23E-03
regulation of secretion by cell (GO:1903530)	570	2	15.94	-	.13	3.64E-05	2.25E-03
positive regulation of locomotion (GO:0040017)	583	2	16.31	-	.12	2.51E-05	1.63E-03
positive regulation of protein phosphorylation (GO:0001934)	585	2	16.36	-	.12	2.54E-05	1.64E-03
positive regulation of transport (GO:0051050)	903	3	25.26	-	.12	5.20E-08	6.94E-06
regulation of secretion (GO:0051046)	624	2	17.45	-	.11	8.26E-06	6.57E-04
enzyme-linked receptor protein signaling pathway (GO:0007167)	626	2	17.51	-	.11	8.34E-06	6.60E-04
positive regulation of phosphorylation (GO:0042327)	632	2	17.68	-	.11	8.77E-06	6.70E-04
regulation of plasma membrane bounded cell projection organization (GO:0120035)	654	2	18.29	-	.11	3.97E-06	3.47E-04
regulation of cellular catabolic process (GO:0031329)	660	2	18.46	-	.11	4.16E-06	3.55E-04
chordate embryonic development (GO:0043009)	662	2	18.52	-	.11	2.71E-06	2.45E-04
regulation of cell projection organization (GO:0031344)	669	2	18.71	-	.11	2.75E-06	2.47E-04
embryo development ending in birth or egg hatching (GO:0009792)	683	2	19.10	-	.10	1.89E-06	1.73E-04
positive regulation of proteolysis (GO:0045862)	347	1	9.71	-	.10	1.29E-03	4.97E-02
aromatic compound catabolic process (GO:0019439)	348	1	9.73	-	.10	1.29E-03	4.96E-02
neuron projection development (GO:0031175)	716	2	20.03	-	.10	9.26E-07	9.29E-05
regulation of epithelial cell proliferation (GO:0050678)	361	1	10.10	-	.10	8.89E-04	3.54E-02
regulation of DNA-binding transcription factor activity (GO:0051090)	373	1	10.43	-	.10	6.11E-04	2.58E-02
organic cyclic compound catabolic process (GO:1901361)	377	1	10.55	-	.09	6.19E-04	2.61E-02
regulation of neurogenesis (GO:0050767)	388	1	10.85	-	.09	4.22E-04	1.91E-02
in utero embryonic development (GO:0001701)	403	1	11.27	-	.09	2.92E-04	1.38E-02
regulation of hemopoiesis (GO:1903706)	407	1	11.38	-	.09	2.97E-04	1.40E-02
regulation of cell development (GO:0060284)	834	2	23.33	-	.09	4.67E-08	6.35E-06
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	420	1	11.75	-	.09	2.03E-04	1.02E-02
response to wounding (GO:0009611)	427	1	11.94	-	.08	2.16E-04	1.06E-02
morphogenesis of an epithelium (GO:0002009)	460	1	12.87	-	.08	6.53E-05	3.78E-03
embryonic organ development (GO:0048568)	460	1	12.87	-	.08	6.53E-05	3.77E-03
regulation of transmembrane transport (GO:0034762)	474	1	13.26	-	.08	4.48E-05	2.71E-03
cellular response to growth factor stimulus (GO:0071363)	475	1	13.29	-	.08	4.49E-05	2.71E-03
modulation of chemical synaptic transmission (GO:0050804)	480	1	13.43	-	.07	4.62E-05	2.76E-03
regulation of trans-synaptic signaling (GO:0099177)	481	1	13.45	-	.07	4.66E-05	2.77E-03
positive regulation of protein localization (GO:1903829)	496	1	13.87	-	.07	3.22E-05	2.04E-03
regulation of mitotic cell cycle (GO:0007346)	497	1	13.90	-	.07	3.26E-05	2.06E-03
response to growth factor (GO:0070848)	505	1	14.13	-	.07	2.13E-05	1.41E-03
positive regulation of apoptotic process (GO:0043065)	509	1	14.24	-	.07	2.18E-05	1.43E-03
cell division (GO:0051301)	525	1	14.69	-	.07	1.52E-05	1.05E-03
positive regulation of programmed cell death (GO:0043068)	530	1	14.83	-	.07	9.87E-06	7.32E-04
cell junction organization (GO:0034330)	535	1	14.97	-	.07	1.00E-05	7.38E-04
cell-cell adhesion (GO:0098609)	540	1	15.10	-	.07	1.05E-05	7.60E-04
regulation of system process (GO:0044057)	547	1	15.30	-	.07	6.79E-06	5.52E-04
regulation of hormone levels (GO:0010817)	550	1	15.38	-	.07	6.90E-06	5.58E-04
tissue morphogenesis (GO:0048729)	572	1	16.00	-	.06	3.15E-06	2.81E-04
behavior (GO:0007610)	629	1	17.59	-	.06	6.81E-07	6.97E-05
cell-cell signaling (GO:0007267)	1090	1	30.49	-	.03	2.27E-12	6.11E-10
leukocyte differentiation (GO:0002521)	430	0	12.03	-	 < 0.01	1.40E-05	9.85E-04
mononuclear cell differentiation (GO:1903131)	337	0	9.43	-	 < 0.01	1.41E-04	7.40E-03
chemical synaptic transmission (GO:0007268)	419	0	11.72	-	 < 0.01	2.16E-05	1.43E-03
cytokine-mediated signaling pathway (GO:0019221)	382	0	10.69	-	 < 0.01	4.35E-05	2.65E-03
kidney development (GO:0001822)	304	0	8.50	-	 < 0.01	4.86E-04	2.14E-02
renal system development (GO:0072001)	314	0	8.78	-	 < 0.01	3.15E-04	1.48E-02
positive regulation of nervous system development (GO:0051962)	292	0	8.17	-	 < 0.01	7.38E-04	3.01E-02
external encapsulating structure organization (GO:0045229)	279	0	7.80	-	 < 0.01	1.11E-03	4.33E-02
response to hypoxia (GO:0001666)	294	0	8.22	-	 < 0.01	4.58E-04	2.05E-02
sensory organ morphogenesis (GO:0090596)	281	0	7.86	-	 < 0.01	6.79E-04	2.83E-02
transcription by RNA polymerase II (GO:0006366)	366	0	10.24	-	 < 0.01	6.41E-05	3.73E-03
regulation of leukocyte differentiation (GO:1902105)	325	0	9.09	-	 < 0.01	2.09E-04	1.04E-02
response to salt (GO:1902074)	374	0	10.46	-	 < 0.01	6.78E-05	3.90E-03
response to lipopolysaccharide (GO:0032496)	320	0	8.95	-	 < 0.01	3.36E-04	1.54E-02
trans-synaptic signaling (GO:0099537)	437	0	12.22	-	 < 0.01	8.92E-06	6.72E-04
synaptic signaling (GO:0099536)	466	0	13.03	-	 < 0.01	4.06E-06	3.50E-04
gland development (GO:0048732)	431	0	12.06	-	 < 0.01	1.42E-05	9.88E-04
anterograde trans-synaptic signaling (GO:0098916)	419	0	11.72	-	 < 0.01	2.16E-05	1.43E-03
regulation of developmental growth (GO:0048638)	324	0	9.06	-	 < 0.01	2.09E-04	1.04E-02
cellular nitrogen compound catabolic process (GO:0044270)	328	0	9.17	-	 < 0.01	2.13E-04	1.05E-02
cognition (GO:0050890)	323	0	9.03	-	 < 0.01	2.09E-04	1.04E-02
regulation of body fluid levels (GO:0050878)	354	0	9.90	-	 < 0.01	9.57E-05	5.34E-03
cell-cell signaling by wnt (GO:0198738)	286	0	8.00	-	 < 0.01	6.93E-04	2.87E-02
negative regulation of transport (GO:0051051)	430	0	12.03	-	 < 0.01	1.40E-05	9.80E-04
positive regulation of secretion (GO:0051047)	318	0	8.90	-	 < 0.01	3.28E-04	1.51E-02
response to decreased oxygen levels (GO:0036293)	307	0	8.59	-	 < 0.01	5.05E-04	2.20E-02
positive regulation of cell projection organization (GO:0031346)	358	0	10.01	-	 < 0.01	9.84E-05	5.47E-03
regulation of monoatomic ion transport (GO:0043269)	467	0	13.06	-	 < 0.01	4.08E-06	3.50E-04
regulation of canonical NF-kappaB signal transduction (GO:0043122)	275	0	7.69	-	 < 0.01	1.06E-03	4.15E-02
extracellular structure organization (GO:0043062)	278	0	7.78	-	 < 0.01	1.09E-03	4.28E-02
camera-type eye development (GO:0043010)	338	0	9.45	-	 < 0.01	1.41E-04	7.38E-03
regulation of neuron projection development (GO:0010975)	458	0	12.81	-	 < 0.01	6.34E-06	5.18E-04
regulation of metal ion transport (GO:0010959)	387	0	10.83	-	 < 0.01	4.52E-05	2.71E-03
regulation of membrane potential (GO:0042391)	443	0	12.39	-	 < 0.01	9.31E-06	6.97E-04
regulation of monoatomic ion transmembrane transport (GO:0034765)	347	0	9.71	-	 < 0.01	1.51E-04	7.80E-03
heterocycle catabolic process (GO:0046700)	329	0	9.20	-	 < 0.01	2.14E-04	1.06E-02
Wnt signaling pathway (GO:0016055)	286	0	8.00	-	 < 0.01	6.93E-04	2.86E-02
negative regulation of cell development (GO:0010721)	281	0	7.86	-	 < 0.01	6.79E-04	2.83E-02
positive regulation of cell development (GO:0010720)	450	0	12.59	-	 < 0.01	5.99E-06	4.95E-04
nucleobase-containing compound catabolic process (GO:0034655)	289	0	8.08	-	 < 0.01	7.12E-04	2.92E-02
extracellular matrix organization (GO:0030198)	277	0	7.75	-	 < 0.01	1.08E-03	4.24E-02
regulation of monoatomic cation transmembrane transport (GO:1904062)	305	0	8.53	-	 < 0.01	4.91E-04	2.16E-02
T cell activation (GO:0042110)	320	0	8.95	-	 < 0.01	3.36E-04	1.53E-02
positive regulation of secretion by cell (GO:1903532)	295	0	8.25	-	 < 0.01	4.58E-04	2.04E-02
lymphocyte differentiation (GO:0030098)	294	0	8.22	-	 < 0.01	4.58E-04	2.04E-02
learning or memory (GO:0007611)	279	0	7.80	-	 < 0.01	1.11E-03	4.32E-02
cell junction assembly (GO:0034329)	284	0	7.94	-	 < 0.01	6.85E-04	2.84E-02
regulation of mRNA metabolic process (GO:1903311)	302	0	8.45	-	 < 0.01	4.75E-04	2.10E-02
epithelial tube morphogenesis (GO:0060562)	317	0	8.87	-	 < 0.01	3.24E-04	1.50E-02
